Gene	ID	Description
HEXA	00009	other_polysaccharide_metabolism
GALNT3	00009	other_polysaccharide_metabolism
GALNT14	00009	other_polysaccharide_metabolism
UGT3A2	00009	other_polysaccharide_metabolism
GALNT12	00009	other_polysaccharide_metabolism
ALG14	00009	other_polysaccharide_metabolism
B4GALT6	00009	other_polysaccharide_metabolism
UGT2B17	00009	other_polysaccharide_metabolism
PPAT	00011	monosaccharide_metabolism
PGM2L1	00011	monosaccharide_metabolism
PGM3	00011	monosaccharide_metabolism
MPI	00011	monosaccharide_metabolism
PFKFB4	00011	monosaccharide_metabolism
GPD2	00011	monosaccharide_metabolism
PGM1	00011	monosaccharide_metabolism
PMM2	00011	monosaccharide_metabolism
MECR	00012	other_carbohydrate_metabolism
MAN2A2	00012	other_carbohydrate_metabolism
D2HGDH	00012	other_carbohydrate_metabolism
GALC	00012	other_carbohydrate_metabolism
GLYCTK	00012	other_carbohydrate_metabolism
ADH7	00012	other_carbohydrate_metabolism
LDHD	00012	other_carbohydrate_metabolism
ADH5	00012	other_carbohydrate_metabolism
CHST6	00012	other_carbohydrate_metabolism
OAT	00013	amino_acid_metabolism
PLEKHG6	00013	amino_acid_metabolism
SCLY	00013	amino_acid_metabolism
ADC	00013	amino_acid_metabolism
HGD	00013	amino_acid_metabolism
PROSC	00013	amino_acid_metabolism
GATM	00013	amino_acid_metabolism
CCBL2	00013	amino_acid_metabolism
BHMT	00013	amino_acid_metabolism
CTH	00013	amino_acid_metabolism
HPDL	00013	amino_acid_metabolism
SLC6A14	00013	amino_acid_metabolism
LOC648934	00013	amino_acid_metabolism
ASNS	00013	amino_acid_metabolism
THA1P	00013	amino_acid_metabolism
DDO	00013	amino_acid_metabolism
BCAT1	00013	amino_acid_metabolism
AOC2	00013	amino_acid_metabolism
LOC641746	00013	amino_acid_metabolism
GGTLC2	00013	amino_acid_metabolism
SLC1A5	00013	amino_acid_metabolism
GADL1	00013	amino_acid_metabolism
HIBADH	00013	amino_acid_metabolism
MCCC2	00013	amino_acid_metabolism
QPCT	00013	amino_acid_metabolism
LOC389873	00013	amino_acid_metabolism
AASS	00013	amino_acid_metabolism
ASNSD1	00013	amino_acid_metabolism
BCKDHA	00013	amino_acid_metabolism
SARDH	00013	amino_acid_metabolism
NPL	00013	amino_acid_metabolism
GGT6	00013	amino_acid_metabolism
CAD	00013	amino_acid_metabolism
MTR	00013	amino_acid_metabolism
GGTLC3	00013	amino_acid_metabolism
PSPH	00013	amino_acid_metabolism
SCLY	00014	amino_acid_biosynthesis
ADC	00014	amino_acid_biosynthesis
ILVBL	00014	amino_acid_biosynthesis
NPL	00014	amino_acid_biosynthesis
SLC6A5	00016	amino_acid_transport
SLC7A8	00016	amino_acid_transport
SLC6A14	00016	amino_acid_transport
ARHGEF11	00016	amino_acid_transport
PRAF2	00016	amino_acid_transport
PLEKHG5	00016	amino_acid_transport
FTCD	00017	amino_acid_catabolism
AMDHD1	00017	amino_acid_catabolism
BCKDK	00017	amino_acid_catabolism
AGA	00017	amino_acid_catabolism
CS	00017	amino_acid_catabolism
TH	00018	other_amino_acid_metabolism
TIMM23B	00018	other_amino_acid_metabolism
ACY3	00018	other_amino_acid_metabolism
TYRL	00018	other_amino_acid_metabolism
TDO2	00018	other_amino_acid_metabolism
LPPR5	00019	lipid_fatty_acid_and_steroid_metabolism
ACOX2	00019	lipid_fatty_acid_and_steroid_metabolism
EPHX1	00019	lipid_fatty_acid_and_steroid_metabolism
HSD3B1	00019	lipid_fatty_acid_and_steroid_metabolism
CYP3A4	00019	lipid_fatty_acid_and_steroid_metabolism
PAQR4	00019	lipid_fatty_acid_and_steroid_metabolism
LOC642762	00019	lipid_fatty_acid_and_steroid_metabolism
GPD1	00019	lipid_fatty_acid_and_steroid_metabolism
SLC27A6	00019	lipid_fatty_acid_and_steroid_metabolism
ABCD4	00019	lipid_fatty_acid_and_steroid_metabolism
ACOX1	00019	lipid_fatty_acid_and_steroid_metabolism
GLYAT	00019	lipid_fatty_acid_and_steroid_metabolism
CYP39A1	00019	lipid_fatty_acid_and_steroid_metabolism
SGPP2	00019	lipid_fatty_acid_and_steroid_metabolism
ADIPOR2	00019	lipid_fatty_acid_and_steroid_metabolism
CYP17A1	00019	lipid_fatty_acid_and_steroid_metabolism
CPT1C	00019	lipid_fatty_acid_and_steroid_metabolism
SMPD2	00019	lipid_fatty_acid_and_steroid_metabolism
FABP6	00019	lipid_fatty_acid_and_steroid_metabolism
NUDT4P1	00019	lipid_fatty_acid_and_steroid_metabolism
LOC388499	00019	lipid_fatty_acid_and_steroid_metabolism
SDR42E1	00019	lipid_fatty_acid_and_steroid_metabolism
LASS3	00019	lipid_fatty_acid_and_steroid_metabolism
ATP11A	00019	lipid_fatty_acid_and_steroid_metabolism
PI4KB	00019	lipid_fatty_acid_and_steroid_metabolism
CYP1A1	00019	lipid_fatty_acid_and_steroid_metabolism
PPAPDC3	00019	lipid_fatty_acid_and_steroid_metabolism
PLCB2	00019	lipid_fatty_acid_and_steroid_metabolism
AGPS	00019	lipid_fatty_acid_and_steroid_metabolism
PIWIL2	00019	lipid_fatty_acid_and_steroid_metabolism
PMVK	00019	lipid_fatty_acid_and_steroid_metabolism
ACSM4	00019	lipid_fatty_acid_and_steroid_metabolism
HIBCH	00019	lipid_fatty_acid_and_steroid_metabolism
HSDL1	00019	lipid_fatty_acid_and_steroid_metabolism
DGKE	00019	lipid_fatty_acid_and_steroid_metabolism
ARSB	00019	lipid_fatty_acid_and_steroid_metabolism
ATP11B	00019	lipid_fatty_acid_and_steroid_metabolism
ACSL5	00019	lipid_fatty_acid_and_steroid_metabolism
ACSL3	00019	lipid_fatty_acid_and_steroid_metabolism
PLA2G3	00019	lipid_fatty_acid_and_steroid_metabolism
IMPAD1	00019	lipid_fatty_acid_and_steroid_metabolism
PTGIS	00019	lipid_fatty_acid_and_steroid_metabolism
GPD1L	00019	lipid_fatty_acid_and_steroid_metabolism
LPIN2	00019	lipid_fatty_acid_and_steroid_metabolism
AGPAT1	00019	lipid_fatty_acid_and_steroid_metabolism
MMD	00019	lipid_fatty_acid_and_steroid_metabolism
SOAT2	00019	lipid_fatty_acid_and_steroid_metabolism
LPL	00019	lipid_fatty_acid_and_steroid_metabolism
PPAPDC1B	00019	lipid_fatty_acid_and_steroid_metabolism
A4GALT	00019	lipid_fatty_acid_and_steroid_metabolism
CDY2A	00019	lipid_fatty_acid_and_steroid_metabolism
SULT1B1	00019	lipid_fatty_acid_and_steroid_metabolism
SDR9C7	00019	lipid_fatty_acid_and_steroid_metabolism
APOE	00019	lipid_fatty_acid_and_steroid_metabolism
GBA2	00019	lipid_fatty_acid_and_steroid_metabolism
OXNAD1	00019	lipid_fatty_acid_and_steroid_metabolism
PNPLA6	00019	lipid_fatty_acid_and_steroid_metabolism
OSBPL1A	00019	lipid_fatty_acid_and_steroid_metabolism
GPX2	00019	lipid_fatty_acid_and_steroid_metabolism
ATP10A	00019	lipid_fatty_acid_and_steroid_metabolism
FABP5L1	00019	lipid_fatty_acid_and_steroid_metabolism
LOC645877	00019	lipid_fatty_acid_and_steroid_metabolism
ACP6	00019	lipid_fatty_acid_and_steroid_metabolism
PLCE1	00019	lipid_fatty_acid_and_steroid_metabolism
GDPD2	00019	lipid_fatty_acid_and_steroid_metabolism
LCLAT1	00019	lipid_fatty_acid_and_steroid_metabolism
SLC37A2	00019	lipid_fatty_acid_and_steroid_metabolism
CYP4A22	00019	lipid_fatty_acid_and_steroid_metabolism
NR2E3	00019	lipid_fatty_acid_and_steroid_metabolism
CYP1B1	00019	lipid_fatty_acid_and_steroid_metabolism
LBP	00019	lipid_fatty_acid_and_steroid_metabolism
IMPA1	00019	lipid_fatty_acid_and_steroid_metabolism
DGAT2L6	00019	lipid_fatty_acid_and_steroid_metabolism
C2ORF43	00019	lipid_fatty_acid_and_steroid_metabolism
MVD	00019	lipid_fatty_acid_and_steroid_metabolism
ANXA3	00019	lipid_fatty_acid_and_steroid_metabolism
RXRB	00019	lipid_fatty_acid_and_steroid_metabolism
PIK3C2G	00019	lipid_fatty_acid_and_steroid_metabolism
PAQR5	00019	lipid_fatty_acid_and_steroid_metabolism
ST3GAL5	00019	lipid_fatty_acid_and_steroid_metabolism
INSIG1	00019	lipid_fatty_acid_and_steroid_metabolism
LPA	00019	lipid_fatty_acid_and_steroid_metabolism
CYP20A1	00019	lipid_fatty_acid_and_steroid_metabolism
FABP4	00019	lipid_fatty_acid_and_steroid_metabolism
CYP4F22	00019	lipid_fatty_acid_and_steroid_metabolism
TNS1	00019	lipid_fatty_acid_and_steroid_metabolism
ACSL1	00019	lipid_fatty_acid_and_steroid_metabolism
ACLY	00019	lipid_fatty_acid_and_steroid_metabolism
ABCA7	00019	lipid_fatty_acid_and_steroid_metabolism
ELOVL1	00019	lipid_fatty_acid_and_steroid_metabolism
ABCG4	00019	lipid_fatty_acid_and_steroid_metabolism
ACACA	00019	lipid_fatty_acid_and_steroid_metabolism
COL4A3BP	00019	lipid_fatty_acid_and_steroid_metabolism
PLA2G4B	00019	lipid_fatty_acid_and_steroid_metabolism
JMJD7-PLA2G4B	00019	lipid_fatty_acid_and_steroid_metabolism
JMJD7	00019	lipid_fatty_acid_and_steroid_metabolism
EPM2A	00019	lipid_fatty_acid_and_steroid_metabolism
PI4KAP2	00019	lipid_fatty_acid_and_steroid_metabolism
GPAA1	00019	lipid_fatty_acid_and_steroid_metabolism
ARSD	00019	lipid_fatty_acid_and_steroid_metabolism
GPX5	00019	lipid_fatty_acid_and_steroid_metabolism
PLCD4	00019	lipid_fatty_acid_and_steroid_metabolism
ST3GAL3	00019	lipid_fatty_acid_and_steroid_metabolism
HMGCR	00019	lipid_fatty_acid_and_steroid_metabolism
RNPEPL1	00020	fatty_acid_metabolism
CYP8B1	00020	fatty_acid_metabolism
MOGAT3	00020	fatty_acid_metabolism
GLYAT	00020	fatty_acid_metabolism
AWAT1	00020	fatty_acid_metabolism
CYP2C18	00020	fatty_acid_metabolism
CYP1A1	00020	fatty_acid_metabolism
LIPE	00020	fatty_acid_metabolism
PRKAG2	00020	fatty_acid_metabolism
HIBCH	00020	fatty_acid_metabolism
ACADSB	00020	fatty_acid_metabolism
ACOT9	00020	fatty_acid_metabolism
CDY2B	00020	fatty_acid_metabolism
CDY2A	00020	fatty_acid_metabolism
ECHDC1	00020	fatty_acid_metabolism
RNPEP	00020	fatty_acid_metabolism
ACOXL	00020	fatty_acid_metabolism
CYP4F22	00020	fatty_acid_metabolism
ACSL1	00020	fatty_acid_metabolism
ELOVL5	00020	fatty_acid_metabolism
CPT2	00020	fatty_acid_metabolism
ACSM2B	00020	fatty_acid_metabolism
CYP8B1	00021	fatty_acid_biosynthesis
NDUFAB1	00021	fatty_acid_biosynthesis
OXSM	00021	fatty_acid_biosynthesis
TBXAS1	00021	fatty_acid_biosynthesis
PCCB	00021	fatty_acid_biosynthesis
DCI	00022	fatty_acid_beta-oxidation
ECH1	00022	fatty_acid_beta-oxidation
MOGAT1	00024	acyl-coa_metabolism
ACAD9	00024	acyl-coa_metabolism
DGAT2	00024	acyl-coa_metabolism
ACOT11	00024	acyl-coa_metabolism
DHCR24	00026	cholesterol_metabolism
ABCA1	00026	cholesterol_metabolism
DGAT1	00026	cholesterol_metabolism
OSBPL6	00026	cholesterol_metabolism
PRKAB2	00026	cholesterol_metabolism
ABCA4	00026	cholesterol_metabolism
CYP27C1	00026	cholesterol_metabolism
CYP27A1	00026	cholesterol_metabolism
PLIN5	00027	regulation_of_lipid_fatty_acid_and_steroid_metabolism
PCYT2	00027	regulation_of_lipid_fatty_acid_and_steroid_metabolism
PLIN2	00027	regulation_of_lipid_fatty_acid_and_steroid_metabolism
PMP2	00028	lipid_and_fatty_acid_transport
DBI	00028	lipid_and_fatty_acid_transport
CETP	00028	lipid_and_fatty_acid_transport
PLSCR2	00028	lipid_and_fatty_acid_transport
ATP11A	00028	lipid_and_fatty_acid_transport
FABP5L9	00028	lipid_and_fatty_acid_transport
ABCA1	00028	lipid_and_fatty_acid_transport
RBP5	00028	lipid_and_fatty_acid_transport
STARD7	00028	lipid_and_fatty_acid_transport
APOC3	00028	lipid_and_fatty_acid_transport
PCTP	00028	lipid_and_fatty_acid_transport
ATP10A	00028	lipid_and_fatty_acid_transport
ABCA4	00028	lipid_and_fatty_acid_transport
SORL1	00028	lipid_and_fatty_acid_transport
TSPO	00028	lipid_and_fatty_acid_transport
HDLBP	00028	lipid_and_fatty_acid_transport
SLC27A1	00028	lipid_and_fatty_acid_transport
FABP4	00028	lipid_and_fatty_acid_transport
COL4A3BP	00028	lipid_and_fatty_acid_transport
PITPNM2	00028	lipid_and_fatty_acid_transport
CRABP1	00029	lipid_and_fatty_acid_binding
SORL1	00029	lipid_and_fatty_acid_binding
STARD6	00030	other_lipid_fatty_acid_and_steroid_metabolism
AMACR	00030	other_lipid_fatty_acid_and_steroid_metabolism
ALOX5AP	00030	other_lipid_fatty_acid_and_steroid_metabolism
CYP2J2	00030	other_lipid_fatty_acid_and_steroid_metabolism
SMARCA4	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ELAVL2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ATF4C	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ATF4	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF34	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
POLR1D	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RNF25	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
POLR3F	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DHX38	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC254028	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SMARCD1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HDAC5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SSBP1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CHERP	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC442299	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF274	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SMARCD3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC728743	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
GFI1B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
POU6F2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DERA	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HIST1H2AL	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HIST1H2AK	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DHX36	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SALL2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TCERG1L	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZFP91	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DNASE2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF193	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF654	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF740	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HMX1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NPM2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ATRX	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
UBTFL6	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
UBTFL2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
UBTFL1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
MLLT6	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ADCY9	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DDX18	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DDX24	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DDX21	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NAA16	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TFDP3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HIST1H2AE	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
MNX1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
GRLF1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TFB2M	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DLL3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
EXO1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SAFB	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NFAT5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CSNK1G1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZBTB5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC26172	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TCFL5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NMD3P1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
FOXN1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
MYB	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
PRPF6	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ERF	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
GINS1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
POLL	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CPSF4L	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZC3H3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SFRS7	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TRIT1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC649288	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RFC4	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF615	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
OGG1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TRIM28	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC652455	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CSNK1A1L	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SOX8	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SCML4	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TSN	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
PHC1B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CNOT7	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
C12ORF72	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
EP400	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
WT1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LYL1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
MTOR	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
THOC3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC728554	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NXF2B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NME2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RBM19	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
METTL1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TAF5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SCRT2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC100131851	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
JARID2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC644101	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SMARCAD1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TRNAU1AP	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF273	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CSNK2A2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
KDM5C	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SNRPEL1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC100130109	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF512B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
HMGN2L6	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF468	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ERH	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
AK2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RBM25	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SOX10	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NRL	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SNRPA1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RBPJ	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RING1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CBFB	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CARD6	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
REXO1L4P	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
PDE1B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZMAT2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SP1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ENTPD1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
CHD3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
THAP3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
RIOK2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
GADD45A	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LHX5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ASF1B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SLC35D3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF595	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
IMP4	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF74	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
PROP1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
INO80	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
BBX	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF134	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
PAX8	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
KAT2B	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
FOXI3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TARDBP	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
MED10	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF695	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
KLF3	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
SOX5	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
TAF13	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF350	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC440017	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
DICER1	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
LOC653557	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
BARX2	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
ZNF429	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
NCL	00031	nucleoside_nucleotide_and_nucleic_acid_metabolism
